feature_i,feature_j,mean_abs_pearson,mean_abs_spearman,days_scored,expected_development_days,available_development_days,missing_development_days
PB1_T1,PB14_T1,0.8061376644046916,0.9311260879304576,70,85,70,15
PB1_T1,PB14_T2,0.6135184042647623,0.6517886955338459,70,85,70,15
PB1_T1,PB14_T3,0.3879895095577906,0.3728646506298316,70,85,70,15
PB1_T1,PB14_T4,0.28712095947359134,0.2673889951372951,70,85,70,15
PB1_T1,PB14_T5,0.23940577856158995,0.21686578539539966,70,85,70,15
PB1_T1,PB14_T6,0.2111745143170564,0.19000574842973497,70,85,70,15
PB1_T1,PB14_T7,0.13947883584807888,0.1218753390712346,70,85,70,15
PB1_T1,PB14_T8,0.09732855875641294,0.08737844955919048,70,85,70,15
PB1_T1,PB14_T9,0.08161061861830939,0.0707920896370045,70,85,70,15
PB1_T1,PB14_T10,0.06420065677363819,0.05501530244493409,70,85,70,15
PB1_T1,PB14_T11,0.061882569959186236,0.054609179162546005,70,85,70,15
PB1_T1,PB14_T12,0.0431056583044477,0.043550156243141624,70,85,70,15
PB1_T1,PB15_T1,0.6190636153714891,0.6880743243668631,70,85,70,15
PB1_T1,PB15_T2,0.7179567990080497,0.8092046238603908,70,85,70,15
PB1_T1,PB15_T3,0.578888796340409,0.6278602431581014,70,85,70,15
PB1_T1,PB15_T4,0.46737620343874164,0.49463651193085645,70,85,70,15
PB1_T1,PB15_T5,0.40622820180507324,0.42475232589329476,70,85,70,15
PB1_T1,PB15_T6,0.36556160574696656,0.3787733241504017,70,85,70,15
PB1_T1,PB15_T7,0.25472741202163973,0.2595343022535159,70,85,70,15
PB1_T1,PB15_T8,0.18625108614437189,0.1901853991266975,70,85,70,15
PB1_T1,PB15_T9,0.15673384368003404,0.16045386236305723,70,85,70,15
PB1_T1,PB15_T10,0.12631606429300477,0.12931903417702123,70,85,70,15
PB1_T1,PB15_T11,0.11769459677922926,0.12024730466986129,70,85,70,15
PB1_T1,PB15_T12,0.08800971877324794,0.09208447000723985,70,85,70,15
PB1_T1,PB16_T1,0.7343786851157711,0.8193521683043145,70,85,70,15
PB1_T1,PB16_T2,0.6846946349788452,0.7609957349267538,70,85,70,15
PB1_T1,PB16_T3,0.4954826198006113,0.5374757442628725,70,85,70,15
PB1_T1,PB16_T4,0.3876093732929329,0.4123983704065729,70,85,70,15
PB1_T1,PB16_T5,0.33322049313489366,0.35021788078723737,70,85,70,15
PB1_T1,PB16_T6,0.2985196894611585,0.31057355393943326,70,85,70,15
PB1_T1,PB16_T7,0.20558547129391747,0.2098805590282818,70,85,70,15
PB1_T1,PB16_T8,0.14786066306117482,0.15130421437996072,70,85,70,15
PB1_T1,PB16_T9,0.1241578719975193,0.12734067946036184,70,85,70,15
PB1_T1,PB16_T10,0.09982865429626131,0.10183277963478675,70,85,70,15
PB1_T1,PB16_T11,0.09302704901876459,0.09458001843316598,70,85,70,15
