feature,family,horizon_if_applicable,development_evidence,development_screen_status,eligible_for_ml,reason,mean_pearson_ic,pearson_pct_same_sign,pearson_fdr_reject,pearson_fdr_qvalue,days_scored
PB18_T8,PB,300,"{""mean_pearson_ic"": -0.029179420763631, ""pearson_fdr_qvalue"": 0.015264591731823, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.6142857142857143}",excluded,False,pearson_pct_same_sign<0.70; abs(mean_pearson_ic)<0.05,-0.029179420763631,0.6142857142857143,True,0.015264591731823,70
PB18_T9,PB,300,"{""mean_pearson_ic"": -0.0305629877082418, ""pearson_fdr_qvalue"": 0.0194506084507786, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.6428571428571429}",excluded,False,pearson_pct_same_sign<0.70; abs(mean_pearson_ic)<0.05,-0.0305629877082418,0.6428571428571429,True,0.0194506084507786,70
PB1_T1,PB,300,"{""mean_pearson_ic"": -0.0078623666358734, ""pearson_fdr_qvalue"": 0.0062272912378463, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.6285714285714286}",excluded,False,pearson_pct_same_sign<0.70; abs(mean_pearson_ic)<0.05,-0.0078623666358734,0.6285714285714286,True,0.0062272912378463,70
PB1_T10,PB,300,"{""mean_pearson_ic"": -0.04898356476798, ""pearson_fdr_qvalue"": 0.0046220142288514, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.6285714285714286}",excluded,False,pearson_pct_same_sign<0.70; abs(mean_pearson_ic)<0.05,-0.04898356476798,0.6285714285714286,True,0.0046220142288514,70
PB1_T11,PB,300,"{""mean_pearson_ic"": -0.0530767422481033, ""pearson_fdr_qvalue"": 0.002019441007336, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.6571428571428571}",excluded,False,pearson_pct_same_sign<0.70,-0.0530767422481033,0.6571428571428571,True,0.002019441007336,70
PB1_T12,PB,300,"{""mean_pearson_ic"": -0.0761639363827108, ""pearson_fdr_qvalue"": 1.11885441117992e-05, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.7285714285714285}",eligible,True,development pearson_fdr_reject AND pearson_pct_same_sign >= 0.70 AND abs(mean_pearson_ic) >= 0.05,-0.0761639363827108,0.7285714285714285,True,1.11885441117992e-05,70
PB1_T2,PB,300,"{""mean_pearson_ic"": -0.0100490352626857, ""pearson_fdr_qvalue"": 0.0119044637202125, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.6428571428571429}",excluded,False,pearson_pct_same_sign<0.70; abs(mean_pearson_ic)<0.05,-0.0100490352626857,0.6428571428571429,True,0.0119044637202125,70
PB1_T3,PB,300,"{""mean_pearson_ic"": -0.0146542201327765, ""pearson_fdr_qvalue"": 0.0309140292946407, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.6142857142857143}",excluded,False,pearson_pct_same_sign<0.70; abs(mean_pearson_ic)<0.05,-0.0146542201327765,0.6142857142857143,True,0.0309140292946407,70
PB1_T4,PB,300,"{""mean_pearson_ic"": -0.0187724979096024, ""pearson_fdr_qvalue"": 0.0474867323209733, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.5714285714285714}",excluded,False,pearson_pct_same_sign<0.70; abs(mean_pearson_ic)<0.05,-0.0187724979096024,0.5714285714285714,True,0.0474867323209733,70
PB1_T5,PB,300,"{""mean_pearson_ic"": -0.0210731913713775, ""pearson_fdr_qvalue"": 0.0591082656584082, ""pearson_fdr_reject"": false, ""pearson_pct_same_sign"": 0.6142857142857143}",excluded,False,pearson_fdr_reject=false; pearson_pct_same_sign<0.70; abs(mean_pearson_ic)<0.05,-0.0210731913713775,0.6142857142857143,False,0.0591082656584082,70
PB1_T6,PB,300,"{""mean_pearson_ic"": -0.0240882481001371, ""pearson_fdr_qvalue"": 0.0458544791402229, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.6142857142857143}",excluded,False,pearson_pct_same_sign<0.70; abs(mean_pearson_ic)<0.05,-0.0240882481001371,0.6142857142857143,True,0.0458544791402229,70
PB1_T7,PB,300,"{""mean_pearson_ic"": -0.0438699032713566, ""pearson_fdr_qvalue"": 0.0022873073148894, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.6857142857142857}",excluded,False,pearson_pct_same_sign<0.70; abs(mean_pearson_ic)<0.05,-0.0438699032713566,0.6857142857142857,True,0.0022873073148894,70
PB1_T8,PB,300,"{""mean_pearson_ic"": -0.0467710688216012, ""pearson_fdr_qvalue"": 0.0033697294824545, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.7}",excluded,False,abs(mean_pearson_ic)<0.05,-0.0467710688216012,0.7,True,0.0033697294824545,70
PB1_T9,PB,300,"{""mean_pearson_ic"": -0.0521427402420824, ""pearson_fdr_qvalue"": 0.001146468581618, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.6571428571428571}",excluded,False,pearson_pct_same_sign<0.70,-0.0521427402420824,0.6571428571428571,True,0.001146468581618,70
PB2_T1,PB,300,"{""mean_pearson_ic"": -0.0012633035497438, ""pearson_fdr_qvalue"": 0.0027799765690471, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.6428571428571429}",excluded,False,pearson_pct_same_sign<0.70; abs(mean_pearson_ic)<0.05,-0.0012633035497438,0.6428571428571429,True,0.0027799765690471,70
